:Procedure,Screening:Days -28 to -2,Period 1:Day -1,Period 1:Day 1,Wash out:3 to 14 days,Period 2:Day -1,Period 2:Day 1,Follow-up/ED:Within 28±2 days after last study treatment,Additional Follow-up for TE ADAa:,Comments:
Injection-Site Assessment,,,"Pre-hypoglycemia induction, 90 min",,,"Pre-hypoglycemia induction, 90 min",,,Injection-site assessment for IMG only.
Nasal Inspection,,,"Pre-hypoglycemia induction, 90 min",,,"Pre-hypoglycemia induction, 90 min",,,Nasal inspection both for IMG and LY900018.
"Vital Signs (Supine Blood Pressure, Pulse Rate, and Body Temperature)",X,,"Pre-hypoglycemia induction, Predose, 15, 30, 60, 120, 240 min",,,"Pre-hypoglycemia induction, Predose, 15, 30, 60, 120, 240 min",X,,Time points may be added for each period if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment.
Single 12-lead ECG (Local),X,,,,,,X,,
Triplicate 12-lead ECG (Central),,,"Pre-hypoglycemia induction (30 and 15 min prior to insulin infusion), Predose, 15, 30, 60, 120, 240 min",,,"Pre-hypoglycemia induction (30 and 15 min prior to insulin infusion), Predose, 15, 30, 60, 120, 240 min",,,Time points may be added for Period 1 and Period 2 if warranted and agreed upon between Lilly and the investigator. Predose time point will be between insulin infusion stop and study treatment.
Laboratory Tests,,,,,,,,,
Clinical Serology Tests,X,,,,,,,,"See Appendix 2, Clinical Laboratory Tests, for details."
"Clinical Lab Tests (Hematology, Clinical Chemistry, and Urinalysis)",X,,Pre-hypoglycemia induction,,,Pre-hypoglycemia induction,X,,"See Appendix 2, Clinical Laboratory Tests, for details. Patients do not need to fast for samples at screening or follow-up. At Periods 1 and 2, samples should be collected from patients who have fasted at least 8 hours before any study procedures."
HbA1c,X,,Pre-hypoglycemia induction,,,,,,"See Appendix 2, Clinical Laboratory Tests, for details."
Pregnancy Test (Female patients of childbearing potential only),X,X,,,X,,X,,Serum pregnancy test will be performed at screening. Urine pregnancy test will be performed at every admission period and follow-up visit if applicable.
FSH (Female patients only),X,,,,,,,,When needed to confirm postmenopausal status.
Ethanol Testing,X,,,,,,,,Additional tests can be done at the discretion of the investigator.
Urine Drug Screen,X,,,,,,,,Additional tests can be done at the discretion of the investigator.
PK (Glucagon),,,"Pre-hypoglycemia induction, Predose, 5, 10, 15, 20, 25, 30, 40, 50, 60, 90, 120, 240 min",,,"Pre-hypoglycemia induction, Predose, 5, 10, 15, 20, 25, 30, 40, 50, 60, 90, 120, 240 min",X,X,Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.
Plasma Glucose for PD,,,"Pre-hypoglycemia induction, -5, Predose, 5, 10, 15, 20, 25, 30, 40, 50, 60, 90, 120, 240 min",,,"Pre-hypoglycemia induction, -5, Predose, 5, 10, 15, 20, 25, 30, 40, 50, 60, 90, 120, 240 min",,,-5 mins = stop insulin infusion. Sampling times are relative to the time of study treatment administration (0 min). Predose time point will be between insulin infusion stop and study treatment.
Genetic Sample (Stored),,X,,,,,,,Single sample for pharmacogenetic analysis taken prior to/on Period 1 Day -1.
Anti-glucagon Antibodies,,,Pre-hypoglycemia induction,,,,X,X,"In the event of drug hypersensitivity reactions (immediate or non-immediate), samples will be collected as close to event onset as possible, at event resolution, and 30 days following the event. Patients with TE ADA at follow-up/ED will undergo additional follow-up. Refer to Section 9.7.1 for details."
Health Outcome Instruments,,,,,,,,,
Clarke Hypoglycemia Awareness Survey,,X,,,,,,,
Nasal and Non-nasal Score Questionnaire,,,"Pre-hypoglycemia induction, 15, 30, 60, 120 min",,,"Pre-hypoglycemia induction, 15, 30, 60, 120 min",,,Sampling times are relative to the time of study treatment administration (0 min). Questionnaire will be collected in both LY900018 and IMG treatment groups in both periods.
Edinburgh Hypoglycemia Scale: Experimental Hypoglycemia,,,"Pre-hypoglycemia induction, During hypoglycemia induction, Predose, 15, 30, 60, 120 min",,,"Pre-hypoglycemia induction, During hypoglycemia induction, Predose, 15, 30, 60, 120 min",,,Sampling times are relative to the time of study treatment administration (0 min). During hypoglycemia induction will be when PG ≤75 mg/dL. Predose time point will be between insulin infusion stop and study treatment.
